ResponseID,BranchNum,Date_of_Survey,Time_of_Survey,SurveyQuestion1,SurveyQuestion2
1327,23,2/8/2020 0:00,5:33:00 PM,4,4
1328,17,2/8/2020 0:00,6:44:00 PM,4,4
1329,31,2/7/2020 0:00,7:19:00 AM,4,4
1330,31,2/7/2020 0:00,7:35:00 AM,4,4
1331,25,2/7/2020 0:00,7:52:00 AM,4,4
1332,25,2/7/2020 0:00,8:03:00 AM,3,3
1333,9,2/7/2020 0:00,9:28:00 AM,5,4
1334,9,2/7/2020 0:00,10:22:00 AM,5,5
1335,13,2/7/2020 0:00,1:41:00 PM,5,5
1336,5,2/7/2020 0:00,9:43:00 PM,4,3
1337,9,2/7/2020 0:00,10:27:00 PM,2,3
1338,22,2/6/2020 0:00,5:26:00 AM,5,5
1339,31,2/6/2020 0:00,7:13:00 AM,4,4
1340,9,2/6/2020 0:00,7:35:00 AM,3,3
1341,19,2/6/2020 0:00,9:23:00 AM,4,5
1342,25,2/6/2020 0:00,10:59:00 AM,5,5
1343,31,2/6/2020 0:00,11:35:00 AM,4,4
1344,40,2/6/2020 0:00,12:00:00 PM,5,5
1345,25,2/6/2020 0:00,2:05:00 PM,4,4
1346,20,2/6/2020 0:00,3:47:00 PM,3,3
1347,31,2/6/2020 0:00,4:07:00 PM,5,5
1348,9,2/6/2020 0:00,6:28:00 PM,5,5
1349,2,2/6/2020 0:00,9:16:00 PM,3,3
1350,9,2/5/2020 0:00,4:38:00 AM,5,5
1351,2,2/5/2020 0:00,11:52:00 AM,4,3
1352,2,2/5/2020 0:00,12:35:00 PM,5,5
1353,25,2/5/2020 0:00,12:39:00 PM,5,5
1354,14,2/5/2020 0:00,4:01:00 PM,5,4
1355,3,2/5/2020 0:00,5:16:00 PM,4,4
1356,33,2/5/2020 0:00,5:38:00 PM,2,1
1357,23,2/5/2020 0:00,6:21:00 PM,5,5
1358,40,2/5/2020 0:00,6:36:00 PM,5,5
1359,22,2/5/2020 0:00,5:06:00 AM,5,5
1360,9,2/5/2020 0:00,5:59:00 AM,5,5
1361,32,2/5/2020 0:00,6:56:00 AM,5,5
1362,7,2/5/2020 0:00,9:17:00 AM,4,4
1363,40,2/5/2020 0:00,10:34:00 AM,4,4
1364,31,2/5/2020 0:00,11:24:00 AM,5,5
1365,23,2/5/2020 0:00,11:28:00 AM,5,5
1366,35,2/4/2020 0:00,12:37:00 AM,3,4
1367,23,2/4/2020 0:00,5:48:00 AM,5,5
1368,9,2/4/2020 0:00,6:29:00 AM,5,5
1369,20,2/4/2020 0:00,8:18:00 AM,4,5
1370,19,2/4/2020 0:00,8:43:00 AM,5,5
1371,28,2/4/2020 0:00,10:06:00 AM,2,3
1372,23,2/4/2020 0:00,1:13:00 PM,3,4
1373,9,2/4/2020 0:00,6:00:00 PM,5,4
1374,9,2/3/2020 0:00,5:52:00 AM,3,3
1375,27,2/3/2020 0:00,5:58:00 AM,5,5
1376,23,2/3/2020 0:00,9:38:00 AM,4,4
1377,11,2/3/2020 0:00,10:17:00 AM,5,5
1378,20,2/3/2020 0:00,2:16:00 PM,5,5
1379,2,2/3/2020 0:00,5:01:00 PM,5,5
1380,40,2/3/2020 0:00,6:07:00 PM,5,5
1381,40,2/3/2020 0:00,6:49:00 PM,5,4
1382,2,2/2/2020 0:00,8:41:00 AM,5,5
1383,23,2/2/2020 0:00,8:43:00 AM,5,5
1384,19,2/2/2020 0:00,10:50:00 AM,4,4
1385,1,2/2/2020 0:00,11:30:00 AM,2,2
1386,40,2/1/2020 0:00,7:51:00 AM,5,5
1387,8,2/1/2020 0:00,5:21:00 PM,2,2
1388,40,2/1/2020 0:00,6:16:00 PM,4,4
1389,9,2/1/2020 0:00,9:31:00 PM,5,5
1390,25,2/1/2020 0:00,10:12:00 PM,5,5
1391,23,2/1/2020 0:00,7:10:00 AM,5,5
1392,31,2/1/2020 0:00,2:40:00 PM,5,4
1393,31,1/31/2020 0:00,5:07:00 AM,5,5
1394,23,1/31/2020 0:00,5:28:00 AM,4,4
1395,30,1/31/2020 0:00,5:34:00 AM,4,4
1396,19,1/31/2020 0:00,6:17:00 AM,5,5
1397,29,1/31/2020 0:00,6:17:00 AM,2,4
1398,32,1/31/2020 0:00,7:30:00 AM,5,5
1399,9,1/31/2020 0:00,7:57:00 AM,5,5
1400,9,1/31/2020 0:00,8:34:00 AM,1,2
1401,25,1/31/2020 0:00,9:24:00 AM,5,5
1402,22,1/31/2020 0:00,10:44:00 AM,5,5
